Fecha,ASE 1 Promoambiental,ASE 2 LIME S.A E.S.P,ASE 3 CIUDAD LIMPIA,ASE 4 BOGOTÁ LIMPIA,ASE 5 ÁREA LIMPIA
ene-21,30458.00,46826.65,27568.95,18625.85,21445.92
feb-21,30118.74,44995.05,26634.92,18514.30,20984.95
mar-21,34466.28,51004.48,29900.93,20938.40,23932.27
abr-21,30309.92,45796.20,27354.72,18792.51,21215.22
may-21,31518.84,46783.48,27935.87,19092.21,22096.20
jun-21,31944.29,48263.20,28535.79,19628.92,22732.76
oct-21,32542.26,48611.47,28258.53,18895.60,21990.18
nov-21,33844.97,51082.26,29042.89,19575.36,22607.18
dic-21,34895.17,52617.28,29768.08,20342.79,23518.54
ene-22,30610.09,45466.94,25625.64,17583.43,20552.61
mar-22,33160.15,48793.52,28110.84,19624.15,22332.53
abr-22,30658.38,45280.23,25962.88,18296.16,20560.58
may-22,32486.24,48270.56,27633.92,19623.68,21909.73
jun-22,31896.59,46192.93,26815.09,18790.15,21166.76
jul-22,32206.53,46997.88,27468.36,19280.10,21363.83
ago-22,33473.78,48845.53,27998.85,19878.46,22317.90
sep-22,31947.37,46051.49,26161.54,18669.12,20941.71
oct-22,32745.37,48159.43,27148.60,19247.50,21282.60
nov-22,33871.25,49330.49,28119.14,19805.12,22429.56
dic-22,34793.08,50622.58,28196.79,20223.17,22454.85
ene-23,31899.99,45786.31,25722.54,18388.64,20836.48
feb-23,29709.89,41903.08,24290.12,17228.65,19609.71
abr-23,30950.56,44250.87,25116.22,17674.18,20055.72
